nombre,provincia,lon,lat,altua
BASE BELGRANO II,ANTARTIDA,-34.56666666666667,-77.86666666666666,256
BASE CARLINI (EX JUBANY),ANTARTIDA,-58.63333333333333,-62.233333333333334,11
BASE ESPERANZA,ANTARTIDA,-56.983333333333334,-63.4,24
BASE MARAMBIO,ANTARTIDA,-56.71666666666667,-64.23333333333333,198
BASE ORCADAS,ANTARTIDA,-44.71666666666667,-60.75,12
BASE SAN MARTIN,ANTARTIDA,-67.13333333333334,-68.13333333333334,7
AZUL AERO,BUENOS AIRES,-59.88333333333333,-36.833333333333336,147
BAHIA BLANCA AERO,BUENOS AIRES,-62.166666666666664,-38.733333333333334,83
BENITO JUAREZ AERO,BUENOS AIRES,-59.78333333333333,-37.71666666666667,207
BOLIVAR AERO,BUENOS AIRES,-61.06666666666667,-36.2,94
CAMPO DE MAYO AERO,BUENOS AIRES,-58.666666666666664,-34.53333333333333,26
CORONEL PRINGLES AERO,BUENOS AIRES,-61.333333333333336,-38.016666666666666,247
CORONEL SUAREZ AERO,BUENOS AIRES,-61.88333333333333,-37.43333333333333,233
DOLORES AERO,BUENOS AIRES,-57.733333333333334,-36.35,9
EL PALOMAR AERO,BUENOS AIRES,-58.6,-34.6,12
EZEIZA AERO,BUENOS AIRES,-58.53333333333333,-34.81666666666667,20
JUNIN AERO,BUENOS AIRES,-60.916666666666664,-34.55,81
LA PLATA AERO,BUENOS AIRES,-57.9,-34.96666666666667,23
LAS FLORES,BUENOS AIRES,-59.13333333333333,-36.03333333333333,36
MAR DEL PLATA AERO,BUENOS AIRES,-57.583333333333336,-37.93333333333333,21
MARIANO MORENO AERO,BUENOS AIRES,-58.81666666666667,-34.55,32
MERLO AERO,BUENOS AIRES,-58.733333333333334,-34.68333333333333,36
MORON AERO,BUENOS AIRES,-58.63333333333333,-34.666666666666664,24
NUEVE DE JULIO,BUENOS AIRES,-60.88333333333333,-35.45,76
OLAVARRIA AERO,BUENOS AIRES,-60.21666666666667,-36.88333333333333,166
PEHUAJO AERO,BUENOS AIRES,-61.9,-35.86666666666667,87
PIGUE AERO,BUENOS AIRES,-62.38333333333333,-37.6,304
PUNTA INDIO B.A.,BUENOS AIRES,-57.28333333333333,-35.36666666666667,22
SAN FERNANDO AERO,BUENOS AIRES,-58.583333333333336,-34.45,3
TANDIL AERO,BUENOS AIRES,-59.25,-37.233333333333334,175
TRENQUE LAUQUEN,BUENOS AIRES,-62.733333333333334,-35.96666666666667,95
TRES ARROYOS,BUENOS AIRES,-60.25,-38.333333333333336,115
VILLA GESELL AERO,BUENOS AIRES,-57.016666666666666,-37.233333333333334,9
AEROPARQUE AERO,CAPITAL FEDERAL,-58.416666666666664,-34.56666666666667,6
BUENOS AIRES OBSERVATORIO,CAPITAL FEDERAL,-58.483333333333334,-34.583333333333336,25
CATAMARCA AERO,CATAMARCA,-65.76666666666667,-28.6,464
TINOGASTA,CATAMARCA,-67.56666666666666,-28.066666666666666,1201
PRESIDENCIA ROQUE SAENZ PEÃ‘A AERO,CHACO,-60.4,-26.75,93
RESISTENCIA AERO,CHACO,-59.05,-27.45,52
COMODORO RIVADAVIA AERO,CHUBUT,-67.5,-45.78333333333333,46
ESQUEL AERO,CHUBUT,-71.15,-42.93333333333333,797
PASO DE INDIOS,CHUBUT,-68.88333333333334,-43.81666666666667,460
PUERTO MADRYN AERO,CHUBUT,-65.06666666666666,-42.733333333333334,136
TRELEW AERO,CHUBUT,-65.26666666666667,-43.2,43
CORDOBA AERO,CORDOBA,-64.2,-31.3,495
CORDOBA OBSERVATORIO,CORDOBA,-64.18333333333334,-31.4,425
ESCUELA DE AVIACION MILITAR AERO,CORDOBA,-64.26666666666667,-31.45,502
LABOULAYE AERO,CORDOBA,-63.36666666666667,-34.13333333333333,137
MARCOS JUAREZ AERO,CORDOBA,-62.15,-32.7,114
PILAR OBSERVATORIO,CORDOBA,-63.88333333333333,-31.666666666666668,338
RIO CUARTO AERO,CORDOBA,-64.23333333333333,-33.11666666666667,421
VILLA DE MARIA DEL RIO SECO,CORDOBA,-63.68333333333333,-29.9,341
VILLA DOLORES AERO,CORDOBA,-65.13333333333334,-31.95,566
CORRIENTES AERO,CORRIENTES,-58.766666666666666,-27.45,62
ITUZAINGO,CORRIENTES,-56.666666666666664,-27.583333333333332,72
MERCEDES AERO (CTES),CORRIENTES,-58.1,-29.216666666666665,107
MONTE CASEROS AERO,CORRIENTES,-57.65,-30.266666666666666,54
PASO DE LOS LIBRES AERO,CORRIENTES,-57.15,-29.683333333333334,70
CONCORDIA AERO,ENTRE RIOS,-58.016666666666666,-31.3,38
GUALEGUAYCHU AERO,ENTRE RIOS,-58.61666666666667,-33,23
PARANA AERO,ENTRE RIOS,-60.483333333333334,-31.783333333333335,78
FORMOSA AERO,FORMOSA,-58.233333333333334,-26.2,60
LAS LOMITAS,FORMOSA,-60.583333333333336,-24.7,130
JUJUY AERO,JUJUY,-65.08333333333333,-24.383333333333333,905
JUJUY U N,JUJUY,-65.18333333333334,-24.166666666666668,1302
LA QUIACA OBSERVATORIO,JUJUY,-65.6,-22.1,3459
GENERAL PICO AERO,LA PAMPA,-63.75,-35.7,145
SANTA ROSA AERO,LA PAMPA,-64.26666666666667,-36.56666666666667,191
VICTORICA,LA PAMPA,-65.43333333333334,-36.21666666666667,312
CHAMICAL AERO,LA RIOJA,-66.28333333333333,-30.366666666666667,461
CHEPES,LA RIOJA,-66.6,-31.333333333333332,658
CHILECITO AERO,LA RIOJA,-67.43333333333334,-29.233333333333334,947
LA RIOJA AERO,LA RIOJA,-66.81666666666666,-29.383333333333333,429
MALARGUE AERO,MENDOZA,-69.58333333333333,-35.5,1425
MENDOZA AERO,MENDOZA,-68.78333333333333,-32.833333333333336,704
MENDOZA OBSERVATORIO,MENDOZA,-68.85,-32.88333333333333,827
SAN CARLOS (MZA),MENDOZA,-69.03333333333333,-33.766666666666666,940
SAN MARTIN (MZA),MENDOZA,-68.41666666666667,-33.083333333333336,653
SAN RAFAEL AERO,MENDOZA,-68.4,-34.583333333333336,748
USPALLATA,MENDOZA,-69.33333333333333,-32.6,1891
BERNARDO DE IRIGOYEN AERO,MISIONES,-53.65,-26.25,815
IGUAZU AERO,MISIONES,-54.46666666666667,-25.733333333333334,270
OBERA,MISIONES,-55.13333333333333,-27.483333333333334,303
POSADAS AERO,MISIONES,-55.96666666666667,-27.366666666666667,125
CHAPELCO AERO,NEUQUEN,-71.13333333333334,-40.083333333333336,779
NEUQUEN AERO,NEUQUEN,-68.13333333333334,-38.95,271
BARILOCHE AERO,RIO NEGRO,-71.16666666666667,-41.15,835
CIPOLLETTI,RIO NEGRO,-67.96666666666667,-38.95,265
EL BOLSON AERO,RIO NEGRO,-71.51666666666667,-41.96666666666667,337
MAQUINCHAO,RIO NEGRO,-68.73333333333333,-41.25,888
RIO COLORADO,RIO NEGRO,-64.08333333333333,-39.016666666666666,79
SAN ANTONIO OESTE AERO,RIO NEGRO,-65.1,-40.78333333333333,20
VIEDMA AERO,RIO NEGRO,-63.016666666666666,-40.85,7
METAN,SALTA,-64.8,-25.483333333333334,855
ORAN AERO,SALTA,-64.31666666666666,-23.15,357
RIVADAVIA,SALTA,-62.9,-24.166666666666668,205
SALTA AERO,SALTA,-65.48333333333333,-24.85,1221
TARTAGAL AERO,SALTA,-63.81666666666667,-22.65,450
JACHAL,SAN JUAN,-68.75,-30.233333333333334,1175
SAN JUAN AERO,SAN JUAN,-68.41666666666667,-31.566666666666666,598
SAN LUIS AERO,SAN LUIS,-66.35,-33.266666666666666,713
SANTA ROSA DE CONLARA AERO,SAN LUIS,-65.18333333333334,-32.38333333333333,620
VILLA REYNOLDS AERO,SAN LUIS,-65.38333333333334,-33.733333333333334,486
EL CALAFATE AERO,SANTA CRUZ,-72.05,-50.266666666666666,204
GOBERNADOR GREGORES AERO,SANTA CRUZ,-70.16666666666667,-48.78333333333333,358
PERITO MORENO AERO,SANTA CRUZ,-71.01666666666667,-46.516666666666666,429
PUERTO DESEADO AERO,SANTA CRUZ,-65.91666666666667,-47.733333333333334,80
RIO GALLEGOS AERO,SANTA CRUZ,-69.28333333333333,-51.61666666666667,19
SAN JULIAN AERO,SANTA CRUZ,-67.78333333333333,-49.31666666666667,62
SANTA CRUZ AERO,SANTA CRUZ,-68.56666666666666,-50.016666666666666,111
CERES AERO,SANTA FE,-61.95,-29.883333333333333,88
EL TREBOL,SANTA FE,-61.666666666666664,-32.2,96
RAFAELA AERO,SANTA FE,-61.5,-31.266666666666666,99
RECONQUISTA AERO,SANTA FE,-59.7,-29.183333333333334,53
ROSARIO AERO,SANTA FE,-60.78333333333333,-32.916666666666664,25
SAUCE VIEJO AERO,SANTA FE,-60.81666666666667,-31.7,18
SUNCHALES AERO,SANTA FE,-61.333333333333336,-30.966666666666665,92
VENADO TUERTO AERO,SANTA FE,-61.96666666666667,-33.666666666666664,112
SANTIAGO DEL ESTERO AERO,SANTIAGO DEL ESTERO,-64.3,-27.766666666666666,199
TERMAS DE RIO HONDO AERO,SANTIAGO DEL ESTERO,-64.93333333333334,-27.483333333333334,280
RIO GRANDE B.A.,TIERRA DEL FUEGO,-67.75,-53.8,22
USHUAIA AERO,TIERRA DEL FUEGO,-68.31666666666666,-54.8,57
TUCUMAN AERO,TUCUMAN,-65.1,-26.85,450
